store_id,city,region,opening_date
1001,South Sophialand (Coastal),Coastal,2022-02-11
1002,Sherimouth (Highlands),Highlands,2020-11-10
1003,Brittanyfort (North),North,2022-02-20
1004,Martinezton (Suburban),Suburban,2022-10-02
1005,West Lisaton (Coastal),Coastal,2022-10-05
1006,New Aaronmouth (North),North,2021-04-15
1007,Brittanyfort (North),North,2020-10-17
1008,Ramirezborough (Highlands),Highlands,2021-07-26
1009,East Jamesland (South),South,2021-10-01
1010,Danafort (South),South,2023-01-16
1011,Hendersonfort (Highlands),Highlands,2023-06-13
1012,New Jillhaven (Rural),Rural,2021-07-15
1013,West Michelleborough (West),West,2022-01-10
1014,Lake Alisonfurt (Rural),Rural,2022-08-27
1015,New Aaronmouth (North),North,2022-09-24
1016,Maryborough (North),North,2022-12-22
1017,Port Lindsay (Central),Central,2021-12-03
1018,Amandaberg (East),East,2021-06-14
1019,Danafort (South),South,2023-03-02
1020,North David (Central),Central,2020-10-19
1021,West Christy (Industrial),Industrial,2022-01-12
1022,Danafort (South),South,2021-08-28
1023,Lake Tara (Rural),Rural,2022-04-01
1024,East Scottstad (Coastal),Coastal,2022-01-04
1025,Lake Michael (Suburban),Suburban,2021-10-09
1026,Danafort (South),South,2021-02-06
1027,New Aaronmouth (North),North,2021-03-16
1028,Justinmouth (Metro),Metro,2021-11-01
1029,Port Christine (Coastal),Coastal,2021-05-14
1030,Lake Alisonfurt (Rural),Rural,2021-11-08
1031,Lake Danshire (Coastal),Coastal,2023-05-04
1032,Lake Ashleyfort (West),West,2021-09-30
1033,Abbottmouth (Touristic),Touristic,2022-03-13
1034,Danafort (South),South,2023-02-07
1035,North David (Central),Central,2021-12-13
1036,West Michael (Metro),Metro,2021-05-14
1037,Lake Autumn (Touristic),Touristic,2022-09-06
1038,North David (Central),Central,2022-11-08
1039,East Jamesland (South),South,2021-11-29
1040,New Josephbury (Suburban),Suburban,2022-03-03
1041,Walkerstad (East),East,2021-10-08
1042,Fitzpatrickmouth (East),East,2022-09-02
1043,Hendersonfort (Highlands),Highlands,2023-05-31
1044,Maryview (Industrial),Industrial,2020-12-26
1045,Samanthaland (Suburban),Suburban,2021-12-02
1046,Lake Danshire (Coastal),Coastal,2022-05-24
1047,Walkerland (Touristic),Touristic,2023-07-28
1048,Lake Alisonfurt (Rural),Rural,2022-11-13
1049,Lake Alisonfurt (Rural),Rural,2021-01-13
1050,East Jamesland (South),South,2022-11-03
1051,Port Lindsay (Central),Central,2021-12-14
1052,Ashleyberg (Touristic),Touristic,2021-11-09
1053,East Jamesland (South),South,2021-03-16
1054,Ashleyberg (Touristic),Touristic,2022-10-20
1055,North David (Central),Central,2021-10-29
1056,Lake Alisonfurt (Rural),Rural,2021-08-07
1057,North David (Central),Central,2023-07-26
1058,Sherimouth (Highlands),Highlands,2022-07-19
1059,East Scottstad (Coastal),Coastal,2021-12-01
1060,West Michael (Metro),Metro,2024-03-21
1061,Amandaberg (East),East,2020-12-11
1062,Yvonnemouth (South),South,2022-01-19
1063,New Aaronmouth (North),North,2025-03-24
1064,North Gabrielle (Central),Central,2021-01-21
1065,Abbottmouth (Touristic),Touristic,2021-06-01
1066,Ramirezborough (Highlands),Highlands,2022-10-04
1067,Jeffreyport (Metro),Metro,2021-04-17
1068,Fitzpatrickmouth (East),East,2023-09-15
1069,Sherimouth (Highlands),Highlands,2022-11-15
1070,North Gabrielle (Central),Central,2022-04-21
1071,Sherimouth (Highlands),Highlands,2022-12-10
1072,North David (Central),Central,2022-05-13
1073,Ramirezborough (Highlands),Highlands,2021-09-29
1074,Ayalaton (Industrial),Industrial,2021-04-09
1075,Lake Ashleyfort (West),West,2022-02-15
1076,East Jamesland (South),South,2022-06-08
1077,West Thomasstad (East),East,2021-12-07
1078,West Christy (Industrial),Industrial,2021-05-14
1079,Collinsshire (North),North,2021-03-06
1080,Lake Tara (Rural),Rural,2022-08-09
1081,Port Lindsay (Central),Central,2020-11-24
1082,Maryborough (North),North,2021-08-07
1083,Sherimouth (Highlands),Highlands,2022-10-23
1084,West Lisaton (Coastal),Coastal,2022-09-21
1085,Elizabethburgh (Rural),Rural,2021-09-28
1086,East Annborough (East),East,2021-12-05
1087,Samanthaland (Suburban),Suburban,2022-01-04
1088,Lake Carol (Industrial),Industrial,2021-01-30
1089,Williamsstad (Touristic),Touristic,2022-06-12
1090,Justinmouth (Metro),Metro,2022-01-09
1091,Ramirezborough (Highlands),Highlands,2021-03-03
1092,Hendersonfort (Highlands),Highlands,2020-11-05
1093,Justinmouth (Metro),Metro,2022-04-01
1094,New Aaronmouth (North),North,2021-08-15
1095,East Jamesland (South),South,2022-12-18
1096,New Christopherstad (Metro),Metro,2021-11-13
1097,Yvonnemouth (South),South,2020-11-17
1098,New Jillhaven (Rural),Rural,2022-12-04
1099,East Jamesland (South),South,2022-10-03
1100,Lake Tara (Rural),Rural,2023-10-03
1101,Martinezton (Suburban),Suburban,2020-12-22
1102,West Lisaton (Coastal),Coastal,2020-11-30
1103,Brittanyfort (North),North,2021-01-25
1104,Roberttown (West),West,2022-01-16
1105,East Annborough (East),East,2021-01-16
1106,Port Lindsay (Central),Central,2021-08-29
1107,Elizabethburgh (Rural),Rural,2022-01-10
1108,Jeffreyport (Metro),Metro,2022-08-11
1109,Yvonnemouth (South),South,2022-05-21
1110,Justinmouth (Metro),Metro,2022-06-16
1111,West Michael (Metro),Metro,2022-01-17
1112,East Jamesland (South),South,2021-12-14
1113,Danafort (South),South,2022-02-11
1114,Lake Danshire (Coastal),Coastal,2021-11-15
1115,New Christopherstad (Metro),Metro,2021-03-08
1116,Martinezton (Suburban),Suburban,2022-04-19
1117,Frankside (West),West,2021-09-03
1118,East Annborough (East),East,2023-03-04
1119,Martinezton (Suburban),Suburban,2022-08-21
1120,New Hector (Suburban),Suburban,2022-05-10
1121,Maryview (Industrial),Industrial,2021-02-23
1122,Walkerland (Touristic),Touristic,2021-06-12
1123,New Hector (Suburban),Suburban,2023-08-01
